Axis_0,Axis_1,P_PHYLO_RPE2_CANAPE_SIG
-1050000,-1050000,Not Sig
-1050000,-1150000,Not Sig
-1050000,-1250000,Mixed
-1050000,-1350000,Mixed
-1050000,-1450000,Mixed
-1050000,-150000,Mixed
-1050000,-1550000,Mixed
-1050000,-1650000,Mixed
-1050000,-1750000,Not Sig
-1050000,-1850000,Not Sig
-1050000,-250000,Mixed
-1050000,-350000,Mixed
-1050000,-450000,Mixed
-1050000,-50000,Not Sig
-1050000,-550000,Mixed
-1050000,-650000,Mixed
-1050000,-750000,Mixed
-1050000,-850000,Mixed
-1050000,-950000,Not Sig
-1050000,1050000,Not Sig
-1050000,1150000,Not Sig
-1050000,1250000,Not Sig
-1050000,1350000,Not Sig
-1050000,1450000,Not Sig
-1050000,150000,Not Sig
-1050000,1550000,Not Sig
-1050000,1650000,Not Sig
-1050000,1750000,Not Sig
-1050000,1850000,Not Sig
-1050000,1950000,Not Sig
-1050000,2050000,Not Sig
-1050000,2150000,Not Sig
-1050000,2250000,Not Sig
-1050000,2350000,Not Sig
-1050000,2450000,Not Sig
-1050000,250000,Not Sig
-1050000,2550000,Not Sig
-1050000,2650000,Not Sig
-1050000,2750000,Not Sig
-1050000,2850000,Not Sig
-1050000,2950000,Not Sig
-1050000,3050000,Not Sig
-1050000,3150000,Not Sig
-1050000,3250000,Not Sig
-1050000,3350000,Not Sig
-1050000,350000,Not Sig
-1050000,3750000,Not Sig
-1050000,3850000,Not Sig
-1050000,450000,Not Sig
-1050000,50000,Not Sig
-1050000,550000,Not Sig
-1050000,650000,Not Sig
-1050000,750000,Not Sig
-1050000,850000,Not Sig
-1050000,950000,Not Sig
-1150000,-1050000,Mixed
-1150000,-1150000,Mixed
-1150000,-1250000,Mixed
-1150000,-1350000,Mixed
-1150000,-1450000,Mixed
-1150000,-150000,Mixed
-1150000,-1550000,Not Sig
-1150000,-1650000,Not Sig
-1150000,-1750000,Not Sig
-1150000,-250000,Mixed
-1150000,-350000,Mixed
-1150000,-450000,Mixed
-1150000,-50000,Mixed
-1150000,-550000,Mixed
-1150000,-650000,Mixed
-1150000,-750000,Mixed
-1150000,-850000,Mixed
-1150000,-950000,Mixed
-1150000,1050000,Not Sig
-1150000,1150000,Not Sig
-1150000,1250000,Not Sig
-1150000,1350000,Not Sig
-1150000,1450000,Not Sig
-1150000,150000,Mixed
-1150000,1550000,Not Sig
-1150000,1650000,Not Sig
-1150000,1750000,Not Sig
-1150000,1850000,Not Sig
-1150000,1950000,Not Sig
-1150000,2050000,Not Sig
-1150000,2150000,Not Sig
-1150000,2250000,Not Sig
-1150000,2350000,Not Sig
-1150000,2450000,Not Sig
-1150000,250000,Not Sig
-1150000,2550000,Not Sig
-1150000,2650000,Not Sig
-1150000,2750000,Not Sig
-1150000,2850000,Not Sig
-1150000,2950000,Not Sig
-1150000,3050000,Not Sig
-1150000,3150000,Not Sig
-1150000,3250000,Not Sig
-1150000,3350000,Not Sig
-1150000,3450000,Not Sig
-1150000,350000,Not Sig
-1150000,3750000,Not Sig
-1150000,3850000,Not Sig
-1150000,3950000,Not Sig
-1150000,450000,Neo
-1150000,50000,Not Sig
-1150000,550000,Mixed
-1150000,650000,Not Sig
-1150000,750000,Not Sig
-1150000,850000,Not Sig
-1150000,950000,Not Sig
-1250000,-1050000,Mixed
-1250000,-1150000,Mixed
-1250000,-1250000,Mixed
-1250000,-1350000,Mixed
-1250000,-1450000,Not Sig
-1250000,-150000,Mixed
-1250000,-1550000,Not Sig
-1250000,-250000,Mixed
-1250000,-350000,Mixed
-1250000,-450000,Mixed
-1250000,-50000,Mixed
-1250000,-550000,Mixed
-1250000,-650000,Mixed
-1250000,-750000,Mixed
-1250000,-850000,Mixed
-1250000,-950000,Mixed
-1250000,1050000,Not Sig
-1250000,1150000,Not Sig
-1250000,1250000,Not Sig
-1250000,1350000,Not Sig
-1250000,1450000,Not Sig
-1250000,150000,Neo
-1250000,1550000,Not Sig
-1250000,1650000,Not Sig
-1250000,1750000,Not Sig
-1250000,1850000,Not Sig
-1250000,1950000,Not Sig
-1250000,2050000,Not Sig
-1250000,2150000,Not Sig
-1250000,2250000,Not Sig
-1250000,2350000,Not Sig
-1250000,2450000,Not Sig
-1250000,250000,Neo
-1250000,2550000,Not Sig
-1250000,2650000,Not Sig
-1250000,2750000,Not Sig
-1250000,2850000,Not Sig
-1250000,2950000,Not Sig
-1250000,3050000,Not Sig
-1250000,3150000,Not Sig
-1250000,3250000,Not Sig
-1250000,3350000,Not Sig
-1250000,3450000,Not Sig
-1250000,350000,Neo
-1250000,450000,Neo
-1250000,50000,Mixed
-1250000,550000,Mixed
-1250000,650000,Not Sig
-1250000,750000,Not Sig
-1250000,850000,Not Sig
-1250000,950000,Not Sig
-1350000,-1050000,Mixed
-1350000,-1150000,Mixed
-1350000,-1250000,Mixed
-1350000,-1350000,Not Sig
-1350000,-150000,Mixed
-1350000,-250000,Mixed
-1350000,-350000,Mixed
-1350000,-450000,Mixed
-1350000,-50000,Mixed
-1350000,-550000,Mixed
-1350000,-650000,Mixed
-1350000,-750000,Mixed
-1350000,-850000,Mixed
-1350000,-950000,Mixed
-1350000,1050000,Not Sig
-1350000,1150000,Not Sig
-1350000,1250000,Not Sig
-1350000,1350000,Not Sig
-1350000,1450000,Not Sig
-1350000,150000,Neo
-1350000,1550000,Neo
-1350000,1650000,Not Sig
-1350000,1750000,Not Sig
-1350000,1850000,Not Sig
-1350000,1950000,Not Sig
-1350000,2050000,Not Sig
-1350000,2150000,Not Sig
-1350000,2250000,Not Sig
-1350000,2350000,Not Sig
-1350000,2450000,Not Sig
-1350000,250000,Not Sig
-1350000,2550000,Not Sig
-1350000,2650000,Not Sig
-1350000,2750000,Not Sig
-1350000,2850000,Not Sig
-1350000,2950000,Not Sig
-1350000,3050000,Not Sig
-1350000,3150000,Not Sig
-1350000,3250000,Not Sig
-1350000,3350000,Not Sig
-1350000,3450000,Not Sig
-1350000,350000,Not Sig
-1350000,450000,Not Sig
-1350000,50000,Mixed
-1350000,550000,Not Sig
-1350000,650000,Not Sig
-1350000,750000,Not Sig
-1350000,850000,Not Sig
-1350000,950000,Not Sig
-1450000,-1050000,Mixed
-1450000,-1150000,Mixed
-1450000,-1250000,Not Sig
-1450000,-150000,Mixed
-1450000,-1750000,Not Sig
-1450000,-250000,Mixed
-1450000,-350000,Mixed
-1450000,-450000,Mixed
-1450000,-50000,Neo
-1450000,-550000,Mixed
-1450000,-650000,Mixed
-1450000,-750000,Mixed
-1450000,-850000,Mixed
-1450000,-950000,Mixed
-1450000,1050000,Not Sig
-1450000,1150000,Not Sig
-1450000,1250000,Not Sig
-1450000,1350000,Not Sig
-1450000,1450000,Not Sig
-1450000,150000,Not Sig
-1450000,1550000,Not Sig
-1450000,1650000,Not Sig
-1450000,1750000,Not Sig
-1450000,1850000,Not Sig
-1450000,1950000,Not Sig
-1450000,2050000,Not Sig
-1450000,2150000,Not Sig
-1450000,2250000,Not Sig
-1450000,2350000,Not Sig
-1450000,2450000,Not Sig
-1450000,250000,Neo
-1450000,2550000,Not Sig
-1450000,2650000,Not Sig
-1450000,2750000,Not Sig
-1450000,2850000,Not Sig
-1450000,2950000,Not Sig
-1450000,3050000,Not Sig
-1450000,3150000,Not Sig
-1450000,3250000,Not Sig
-1450000,3350000,Not Sig
-1450000,3450000,Not Sig
-1450000,350000,Not Sig
-1450000,3550000,Not Sig
-1450000,3650000,Not Sig
-1450000,450000,Not Sig
-1450000,50000,Neo
-1450000,550000,Not Sig
-1450000,650000,Not Sig
-1450000,750000,Not Sig
-1450000,850000,Not Sig
-1450000,950000,Not Sig
-150000,-1050000,Not Sig
-150000,-1150000,Not Sig
-150000,-1250000,Not Sig
-150000,-1350000,Not Sig
-150000,-150000,Not Sig
-150000,-2250000,Not Sig
-150000,-2350000,Not Sig
-150000,-2450000,Palaeo
-150000,-250000,Not Sig
-150000,-2550000,Not Sig
-150000,-2650000,Not Sig
-150000,-350000,Not Sig
-150000,-450000,Not Sig
-150000,-50000,Not Sig
-150000,-550000,Not Sig
-150000,-650000,Not Sig
-150000,-750000,Not Sig
-150000,-850000,Not Sig
-150000,-950000,Not Sig
-150000,1050000,Not Sig
-150000,1150000,Not Sig
-150000,1250000,Not Sig
-150000,1350000,Not Sig
-150000,1450000,Not Sig
-150000,150000,Not Sig
-150000,1550000,Not Sig
-150000,1650000,Not Sig
-150000,1750000,Not Sig
-150000,1850000,Not Sig
-150000,1950000,Not Sig
-150000,2050000,Not Sig
-150000,2150000,Not Sig
-150000,2250000,Not Sig
-150000,2350000,Not Sig
-150000,2450000,Not Sig
-150000,250000,Not Sig
-150000,2550000,Not Sig
-150000,2650000,Not Sig
-150000,2750000,Not Sig
-150000,2850000,Not Sig
-150000,2950000,Not Sig
-150000,3050000,Not Sig
-150000,3150000,Not Sig
-150000,3350000,Not Sig
-150000,350000,Not Sig
-150000,450000,Not Sig
-150000,50000,Not Sig
-150000,550000,Not Sig
-150000,650000,Not Sig
-150000,750000,Not Sig
-150000,850000,Not Sig
-150000,950000,Not Sig
-1550000,-1050000,Not Sig
-1550000,-1450000,Not Sig
-1550000,-150000,Neo
-1550000,-1550000,Not Sig
-1550000,-1650000,Not Sig
-1550000,-250000,Neo
-1550000,-350000,Mixed
-1550000,-450000,Mixed
-1550000,-50000,Mixed
-1550000,-550000,Mixed
-1550000,-650000,Mixed
-1550000,-750000,Mixed
-1550000,-850000,Not Sig
-1550000,-950000,Not Sig
-1550000,1050000,Not Sig
-1550000,1150000,Not Sig
-1550000,1250000,Not Sig
-1550000,1350000,Not Sig
-1550000,1450000,Not Sig
-1550000,150000,Neo
-1550000,1550000,Not Sig
-1550000,1650000,Not Sig
-1550000,1750000,Not Sig
-1550000,1850000,Not Sig
-1550000,1950000,Not Sig
-1550000,2050000,Not Sig
-1550000,2150000,Not Sig
-1550000,2250000,Not Sig
-1550000,2350000,Not Sig
-1550000,2450000,Not Sig
-1550000,250000,Neo
-1550000,2550000,Not Sig
-1550000,2650000,Not Sig
-1550000,2750000,Not Sig
-1550000,2850000,Not Sig
-1550000,2950000,Not Sig
-1550000,3050000,Not Sig
-1550000,3150000,Not Sig
-1550000,3250000,Not Sig
-1550000,3350000,Not Sig
-1550000,3450000,Not Sig
-1550000,350000,Neo
-1550000,3550000,Not Sig
-1550000,450000,Not Sig
-1550000,50000,Mixed
-1550000,550000,Not Sig
-1550000,650000,Not Sig
-1550000,750000,Neo
-1550000,850000,Not Sig
-1550000,950000,Not Sig
-1650000,-1150000,Neo
-1650000,-1250000,Mixed
-1650000,-1350000,Not Sig
-1650000,-150000,Neo
-1650000,-250000,Neo
-1650000,-350000,Neo
-1650000,-450000,Neo
-1650000,-50000,Mixed
-1650000,-550000,Neo
-1650000,-650000,Mixed
-1650000,-750000,Not Sig
-1650000,1050000,Not Sig
-1650000,1150000,Not Sig
-1650000,1250000,Not Sig
-1650000,1350000,Not Sig
-1650000,1450000,Not Sig
-1650000,150000,Neo
-1650000,1550000,Not Sig
-1650000,1650000,Not Sig
-1650000,1750000,Not Sig
-1650000,1850000,Not Sig
-1650000,1950000,Not Sig
-1650000,2050000,Not Sig
-1650000,2150000,Not Sig
-1650000,2250000,Not Sig
-1650000,2350000,Not Sig
-1650000,2450000,Not Sig
-1650000,250000,Neo
-1650000,2550000,Not Sig
-1650000,2650000,Not Sig
-1650000,2750000,Not Sig
-1650000,2850000,Not Sig
-1650000,2950000,Not Sig
-1650000,3050000,Not Sig
-1650000,3150000,Not Sig
-1650000,3250000,Not Sig
-1650000,3350000,Not Sig
-1650000,3450000,Not Sig
-1650000,350000,Neo
-1650000,3550000,Not Sig
-1650000,3650000,Not Sig
-1650000,450000,Neo
-1650000,50000,Mixed
-1650000,550000,Not Sig
-1650000,650000,Not Sig
-1650000,750000,Neo
-1650000,850000,Not Sig
-1650000,950000,Not Sig
-1750000,-1050000,Neo
-1750000,-1250000,Not Sig
-1750000,-150000,Neo
-1750000,-250000,Neo
-1750000,-350000,Neo
-1750000,-450000,Mixed
-1750000,-50000,Neo
-1750000,-550000,Mixed
-1750000,-650000,Mixed
-1750000,-750000,Neo
-1750000,-850000,Mixed
-1750000,-950000,Not Sig
-1750000,1050000,Not Sig
-1750000,1150000,Not Sig
-1750000,1250000,Neo
-1750000,1350000,Neo
-1750000,1450000,Mixed
-1750000,150000,Neo
-1750000,1550000,Not Sig
-1750000,1650000,Not Sig
-1750000,1750000,Not Sig
-1750000,1850000,Not Sig
-1750000,1950000,Not Sig
-1750000,2050000,Not Sig
-1750000,2150000,Not Sig
-1750000,2250000,Not Sig
-1750000,2350000,Not Sig
-1750000,2450000,Not Sig
-1750000,250000,Mixed
-1750000,2550000,Not Sig
-1750000,2650000,Not Sig
-1750000,2750000,Not Sig
-1750000,2850000,Not Sig
-1750000,2950000,Not Sig
-1750000,3050000,Not Sig
-1750000,3150000,Not Sig
-1750000,3250000,Not Sig
-1750000,3350000,Not Sig
-1750000,3450000,Not Sig
-1750000,350000,Neo
-1750000,3550000,Not Sig
-1750000,3650000,Not Sig
-1750000,450000,Neo
-1750000,50000,Neo
-1750000,550000,Neo
-1750000,650000,Neo
-1750000,750000,Neo
-1750000,850000,Neo
-1750000,950000,Not Sig
-1850000,-150000,Neo
-1850000,-250000,Neo
-1850000,-350000,Neo
-1850000,-450000,Neo
-1850000,-50000,Neo
-1850000,-550000,Mixed
-1850000,-650000,Mixed
-1850000,-750000,Mixed
-1850000,-850000,Mixed
-1850000,-950000,Not Sig
-1850000,1050000,Neo
-1850000,1150000,Not Sig
-1850000,1250000,Not Sig
-1850000,1350000,Mixed
-1850000,1450000,Mixed
-1850000,150000,Mixed
-1850000,1550000,Mixed
-1850000,1650000,Not Sig
-1850000,1750000,Not Sig
-1850000,1850000,Not Sig
-1850000,1950000,Not Sig
-1850000,2050000,Not Sig
-1850000,2150000,Not Sig
-1850000,2250000,Not Sig
-1850000,2350000,Not Sig
-1850000,2450000,Not Sig
-1850000,250000,Mixed
-1850000,2550000,Not Sig
-1850000,2650000,Not Sig
-1850000,2750000,Not Sig
-1850000,2850000,Not Sig
-1850000,2950000,Not Sig
-1850000,3050000,Not Sig
-1850000,3150000,Not Sig
-1850000,3250000,Not Sig
-1850000,3350000,Not Sig
-1850000,3450000,Not Sig
-1850000,350000,Neo
-1850000,3550000,Not Sig
-1850000,3650000,Not Sig
-1850000,450000,Neo
-1850000,50000,Neo
-1850000,550000,Not Sig
-1850000,650000,Neo
-1850000,750000,Neo
-1850000,850000,Neo
-1850000,950000,Neo
-1950000,-150000,Neo
-1950000,-250000,Neo
-1950000,-350000,Mixed
-1950000,-450000,Neo
-1950000,-50000,Neo
-1950000,1050000,Not Sig
-1950000,1150000,Neo
-1950000,1250000,Mixed
-1950000,1350000,Neo
-1950000,1450000,Not Sig
-1950000,150000,Neo
-1950000,1550000,Not Sig
-1950000,1650000,Not Sig
-1950000,1750000,Not Sig
-1950000,1850000,Not Sig
-1950000,1950000,Not Sig
-1950000,2050000,Not Sig
-1950000,2150000,Mixed
-1950000,2250000,Not Sig
-1950000,2350000,Not Sig
-1950000,2450000,Not Sig
-1950000,250000,Mixed
-1950000,2550000,Not Sig
-1950000,2650000,Not Sig
-1950000,2750000,Not Sig
-1950000,2850000,Not Sig
-1950000,2950000,Not Sig
-1950000,3050000,Not Sig
-1950000,3150000,Not Sig
-1950000,3250000,Not Sig
-1950000,3350000,Not Sig
-1950000,3450000,Not Sig
-1950000,350000,Neo
-1950000,3550000,Not Sig
-1950000,3650000,Not Sig
-1950000,3750000,Not Sig
-1950000,450000,Neo
-1950000,50000,Neo
-1950000,550000,Neo
-1950000,650000,Neo
-1950000,750000,Neo
-1950000,850000,Neo
-1950000,950000,Neo
-2050000,-150000,Neo
-2050000,-250000,Neo
-2050000,-350000,Neo
-2050000,-50000,Mixed
-2050000,1450000,Neo
-2050000,150000,Neo
-2050000,1550000,Mixed
-2050000,1650000,Not Sig
-2050000,1750000,Not Sig
-2050000,1850000,Not Sig
-2050000,1950000,Not Sig
-2050000,2050000,Not Sig
-2050000,2150000,Not Sig
-2050000,2250000,Not Sig
-2050000,2350000,Not Sig
-2050000,2450000,Not Sig
-2050000,250000,Neo
-2050000,2550000,Not Sig
-2050000,2650000,Not Sig
-2050000,2750000,Not Sig
-2050000,2850000,Not Sig
-2050000,2950000,Not Sig
-2050000,3050000,Not Sig
-2050000,3150000,Not Sig
-2050000,3250000,Not Sig
-2050000,3350000,Not Sig
-2050000,3450000,Not Sig
-2050000,350000,Neo
-2050000,3550000,Not Sig
-2050000,3650000,Not Sig
-2050000,3750000,Not Sig
-2050000,3850000,Not Sig
-2050000,450000,Neo
-2050000,50000,Neo
-2050000,550000,Neo
-2050000,650000,Neo
-2050000,750000,Neo
-2050000,850000,Mixed
-2050000,950000,Not Sig
-2150000,-150000,Neo
-2150000,-250000,Neo
-2150000,-50000,Mixed
-2150000,150000,Neo
-2150000,1650000,Mixed
-2150000,1950000,Not Sig
-2150000,2050000,Not Sig
-2150000,2250000,Not Sig
-2150000,2350000,Not Sig
-2150000,2450000,Not Sig
-2150000,250000,Neo
-2150000,2550000,Not Sig
-2150000,2650000,Not Sig
-2150000,2750000,Not Sig
-2150000,2850000,Not Sig
-2150000,2950000,Not Sig
-2150000,3050000,Not Sig
-2150000,3150000,Not Sig
-2150000,3250000,Not Sig
-2150000,3350000,Not Sig
-2150000,3450000,Not Sig
-2150000,350000,Neo
-2150000,3550000,Not Sig
-2150000,3650000,Not Sig
-2150000,3750000,Not Sig
-2150000,3850000,Not Sig
-2150000,3950000,Not Sig
-2150000,450000,Neo
-2150000,50000,Mixed
-2150000,550000,Neo
-2150000,650000,Neo
-2150000,750000,Not Sig
-2250000,2450000,Not Sig
-2250000,250000,Neo
-2250000,2550000,Not Sig
-2250000,2650000,Not Sig
-2250000,2750000,Not Sig
-2250000,2850000,Not Sig
-2250000,2950000,Not Sig
-2250000,3050000,Not Sig
-2250000,3150000,Not Sig
-2250000,3250000,Not Sig
-2250000,3350000,Not Sig
-2250000,3450000,Not Sig
-2250000,350000,Neo
-2250000,3550000,Not Sig
-2250000,3650000,Not Sig
-2250000,3750000,Not Sig
-2250000,3850000,Not Sig
-2250000,3950000,Not Sig
-2250000,4050000,Not Sig
-2350000,2750000,Not Sig
-2350000,2850000,Not Sig
-2350000,2950000,Not Sig
-2350000,3050000,Not Sig
-2350000,3150000,Not Sig
-2350000,3250000,Not Sig
-2350000,3350000,Not Sig
-2350000,3450000,Not Sig
-2350000,3550000,Not Sig
-2350000,3650000,Not Sig
-2350000,3750000,Not Sig
-2350000,3850000,Not Sig
-2350000,3950000,Not Sig
-2350000,4050000,Not Sig
-2450000,2950000,Not Sig
-2450000,3050000,Not Sig
-2450000,3150000,Not Sig
-2450000,3250000,Not Sig
-2450000,3350000,Not Sig
-2450000,3450000,Not Sig
-2450000,3550000,Not Sig
-2450000,3650000,Not Sig
-2450000,3750000,Not Sig
-2450000,3850000,Not Sig
-2450000,3950000,Not Sig
-2450000,4050000,Not Sig
-2450000,4150000,Not Sig
-2450000,4250000,Not Sig
-250000,-1050000,Not Sig
-250000,-1150000,Not Sig
-250000,-1250000,Not Sig
-250000,-1350000,Not Sig
-250000,-1450000,Mixed
-250000,-150000,Not Sig
-250000,-1550000,Neo
-250000,-1650000,Not Sig
-250000,-1750000,Not Sig
-250000,-1850000,Not Sig
-250000,-1950000,Not Sig
-250000,-2050000,Not Sig
-250000,-2150000,Not Sig
-250000,-2250000,Not Sig
-250000,-2350000,Not Sig
-250000,-2450000,Not Sig
-250000,-250000,Not Sig
-250000,-2550000,Not Sig
-250000,-2650000,Not Sig
-250000,-350000,Not Sig
-250000,-450000,Not Sig
-250000,-50000,Not Sig
-250000,-550000,Not Sig
-250000,-650000,Not Sig
-250000,-750000,Not Sig
-250000,-850000,Not Sig
-250000,-950000,Not Sig
-250000,1050000,Not Sig
-250000,1150000,Not Sig
-250000,1250000,Not Sig
